SampleID	Genotype	Germplasm	Treatment	Compartment	Block	Plot
D_R15_2	X15	Landrace	D	Root	2	P01
D_R15_3	X15	Landrace	D	Root	3	P01
D_R16_1	X16	Landrace	D	Root	1	P01
D_R16_2	X16	Landrace	D	Root	2	P01
D_R16_3	X16	Landrace	D	Root	3	P01
D_R17_1	X17	Landrace	D	Root	1	P10
D_R17_2	X17	Landrace	D	Root	2	P10
D_R17_3	X17	Landrace	D	Root	3	P10
D_R18_1	X18	Landrace	D	Root	1	P15
D_R18_2	X18	Landrace	D	Root	2	P15
D_R18_3	X18	Landrace	D	Root	3	P15
D_R19_1	X19	Landrace	D	Root	1	P01
D_R19_2	X19	Landrace	D	Root	2	P01
